time,wx (rad/s),wy (rad/s),wz (rad/s)
6.472565,0.26,0.16,-0.35
6.482361,0.25,0.13,-0.35
6.493081,0.25,0.10,-0.34
6.503324,0.25,0.06,-0.33
6.518035,0.25,0.03,-0.31
6.523696,0.25,-0.02,-0.30
6.533763,0.24,-0.07,-0.29
6.544007,0.23,-0.15,-0.27
6.553980,0.20,-0.27,-0.26
6.564564,0.14,-0.47,-0.24
6.574556,0.06,-0.72,-0.23
6.585464,-0.01,-0.96,-0.20
6.596304,-0.08,-1.11,-0.17
6.605177,-0.14,-1.19,-0.13
6.615923,-0.19,-1.21,-0.09
6.626348,-0.24,-1.20,-0.06
6.636436,-0.27,-1.18,-0.03
6.650721,-0.28,-1.15,-0.00
6.657380,-0.28,-1.12,0.02
6.667848,-0.27,-1.09,0.04
6.677641,-0.26,-1.06,0.07
6.687719,-0.26,-1.03,0.11
6.697808,-0.28,-1.00,0.16
6.708431,-0.31,-0.96,0.21
6.718293,-0.35,-0.90,0.26
6.729194,-0.38,-0.83,0.31
6.738928,-0.40,-0.78,0.34
6.748985,-0.40,-0.75,0.35
6.759482,-0.36,-0.71,0.34
6.769385,-0.24,-0.50,0.25
6.783222,0.02,-0.12,0.26
6.790337,0.35,0.38,0.32
6.800830,0.59,0.83,0.27
6.810943,0.72,1.04,0.24
6.821258,0.74,1.04,0.22
6.831300,0.71,0.92,0.22
6.842163,0.67,0.76,0.24
6.852000,0.65,0.60,0.28
6.862054,0.66,0.44,0.33
6.872127,0.66,0.31,0.38
6.882468,0.65,0.16,0.43
6.893281,0.60,-0.07,0.47
6.903060,0.53,-0.38,0.50
6.915931,0.46,-0.68,0.52
6.923807,0.42,-0.89,0.52
6.933325,0.41,-0.98,0.52
6.944979,0.43,-1.01,0.52
6.954202,0.49,-1.02,0.53
6.964548,0.60,-1.02,0.54
6.974310,0.70,-1.00,0.56
6.984294,0.78,-0.94,0.57
6.994637,0.86,-0.76,0.57
7.005469,0.93,-0.46,0.56
7.015398,0.98,-0.13,0.56
7.026417,1.00,0.13,0.55
7.036449,1.00,0.31,0.54
7.046717,0.97,0.44,0.53
7.056617,0.95,0.54,0.52
7.066883,0.92,0.63,0.52
7.077681,0.90,0.71,0.52
7.087771,0.90,0.77,0.53
7.097669,0.91,0.84,0.53
7.108030,0.93,0.89,0.53
7.123737,0.94,0.95,0.53
7.128014,0.94,1.00,0.52
7.138237,0.92,1.05,0.51
7.148772,0.93,1.07,0.51
7.159316,0.95,1.07,0.51
7.169476,0.97,1.06,0.50
7.179358,0.94,1.03,0.48
7.189898,0.87,1.00,0.44
7.200353,0.77,0.96,0.41
7.213028,0.69,0.89,0.39
7.220406,0.62,0.80,0.39
7.231692,0.56,0.72,0.39
7.242622,0.51,0.63,0.39
7.252209,0.45,0.55,0.39
7.261935,0.39,0.47,0.39
7.272769,0.33,0.40,0.39
7.282588,0.27,0.33,0.38
7.293068,0.22,0.26,0.36
7.304053,0.18,0.18,0.34
7.313355,0.13,0.11,0.25
7.324122,0.11,-0.03,0.27
7.334218,0.10,-0.24,0.35
7.347244,0.06,-0.47,0.33
7.354646,0.04,-0.73,0.33
7.364692,0.05,-0.96,0.33
7.375434,0.10,-1.13,0.32
7.384820,0.17,-1.25,0.30
7.395952,0.28,-1.33,0.26
7.405920,0.42,-1.31,0.20
7.416036,0.58,-1.19,0.14
7.426182,0.72,-1.01,0.09
7.436717,0.82,-0.83,0.05
7.447402,0.87,-0.69,0.03
7.458743,0.86,-0.55,0.01
7.467252,0.81,-0.42,0.00
7.477057,0.75,-0.30,0.00
7.488198,0.67,-0.23,0.01
7.497861,0.61,-0.23,0.02
7.507910,0.56,-0.28,0.04
7.517741,0.53,-0.37,0.05
7.528613,0.52,-0.46,0.07
7.539103,0.53,-0.49,0.09
7.549450,0.52,-0.45,0.08
7.559602,0.49,-0.35,0.06
7.570066,0.45,-0.24,0.04
7.580080,0.42,-0.14,0.02
7.591640,0.40,-0.07,0.01
7.600814,0.40,-0.01,0.00
7.611201,0.40,0.04,-0.00
7.621837,0.41,0.07,-0.01
